frame,x,y,confidence
52966,868,51,0.457146
52967,868,51,0.462361
52968,868,51,0.532467
52969,868,51,0.513053
52970,868,51,0.487538
52971,868,51,0.455066
52972,868,51,0.432146
52973,868,51,0.443885
52974,868,51,0.462019
52975,868,51,0.443759
52976,868,51,0.441179
52977,868,51,0.447350
52978,868,51,0.431257
52979,868,51,0.459986
52980,868,51,0.472837
52981,868,51,0.471740
52982,868,51,0.481389
52983,868,51,0.478951
52984,868,51,0.505354
52985,868,51,0.527221
52986,868,51,0.509092
52987,868,51,0.473448
52988,,,
52989,868,50,0.380975
52990,868,50,0.404514
52991,868,50,0.360781
52992,868,51,0.424997
52993,868,51,0.413804
52994,868,51,0.510161
52995,868,50,0.496532
52996,868,50,0.536402
52997,868,50,0.533794
52998,868,51,0.558547
52999,868,50,0.487255
53000,868,50,0.453678
53001,868,50,0.439387
53002,868,50,0.416626
53003,868,50,0.412391
53004,868,50,0.422680
53005,868,50,0.437951
53006,868,50,0.417646
53007,868,50,0.410205
53008,868,50,0.435649
53009,868,50,0.424284
53010,868,50,0.429256
53011,868,50,0.457971
53012,868,50,0.421133
53013,868,50,0.436796
53014,868,50,0.461501
53015,868,50,0.438899
53016,868,50,0.443785
53017,868,50,0.421956
53018,868,51,0.424775
53019,868,51,0.428634
53020,868,50,0.437661
53021,868,51,0.451101
53022,868,51,0.407667
53023,868,51,0.466240
53024,868,51,0.470548
53025,868,50,0.434456
53026,868,50,0.441591
53027,868,50,0.454382
53028,868,50,0.430724
53029,868,50,0.420165
53030,868,50,0.444251
53031,868,50,0.436210
53032,868,50,0.432421
53033,868,50,0.457718
53034,868,50,0.459007
53035,868,51,0.461302
53036,868,51,0.420786
53037,868,51,0.415380
53038,868,51,0.438042
53039,868,51,0.450235
53040,868,51,0.430926
53041,868,51,0.448665
53042,868,51,0.449793
53043,868,51,0.435254
53044,868,51,0.407334
53045,868,51,0.419227
53046,868,51,0.395633
53047,868,51,0.396507
53048,868,51,0.410738
53049,868,50,0.492661
53050,868,50,0.499421
53051,868,50,0.356260
53052,868,50,0.395356
53053,868,50,0.407852
53054,868,50,0.406317
53055,868,50,0.373787
53056,868,50,0.384700
53057,868,50,0.382766
53058,868,50,0.393350
53059,,,
53060,,,
53061,,,
53062,,,
53063,,,
53064,,,
53065,,,
53066,,,
53067,,,
53068,,,
53069,,,
53070,,,
53071,,,
53072,,,
53073,,,
53074,,,
53075,,,
53076,,,
53077,264,390,0.978880
53078,264,390,0.978818
53079,,,
53080,,,
53081,,,
53082,,,
53083,264,390,0.963233
53084,,,
53085,,,
53086,,,
53087,262,392,0.981774
53088,261,390,0.981244
53089,259,390,0.988139
53090,,,
53091,254,390,0.955253
53092,254,390,0.966537
53093,,,
53094,,,
53095,,,
53096,,,
53097,,,
53098,250,390,0.975108
53099,254,391,0.977617
53100,256,392,0.988621
53101,246,392,0.987122
53102,244,394,0.983274
53103,244,394,0.988383
53104,241,394,0.990497
53105,240,394,0.992115
53106,239,393,0.993768
53107,238,394,0.994052
53108,236,394,0.992025
53109,235,394,0.992910
53110,,,
53111,,,
53112,,,
53113,,,
53114,,,
53115,,,
53116,,,
53117,,,
53118,,,
53119,,,
53120,,,
53121,,,
53122,,,
53123,,,
53124,,,
53125,,,
53126,,,
53127,,,
53128,868,50,0.604814
53129,868,50,0.606444
53130,868,50,0.617498
53131,868,50,0.584354
53132,868,50,0.560464
53133,868,50,0.576777
53134,868,50,0.561661
53135,868,50,0.578850
53136,868,50,0.568290
53137,868,50,0.568633
53138,868,50,0.570817
53139,868,50,0.564235
53140,868,50,0.564451
53141,868,50,0.564751
53142,868,50,0.561027
53143,868,50,0.562862
53144,868,50,0.561621
53145,868,50,0.543881
53146,868,50,0.545641
53147,868,50,0.562496
53148,868,50,0.550829
53149,868,50,0.547682
53150,868,50,0.558281
53151,868,50,0.549874
53152,868,50,0.544713
53153,868,50,0.539017
53154,868,50,0.534490
53155,868,50,0.544428
53156,868,50,0.544408
53157,868,51,0.566336
53158,868,51,0.573164
53159,868,51,0.569480
53160,868,51,0.583612
53161,868,51,0.584244
53162,868,51,0.573586
53163,868,50,0.568421
53164,868,50,0.564526
53165,868,50,0.564410
53166,868,50,0.554419
53167,868,51,0.556174
53168,868,50,0.555516
53169,868,51,0.452374
53170,868,51,0.447214
53171,,,
53172,,,
53173,,,
53174,738,172,0.401228
53175,,,
53176,685,348,0.694101
53177,685,348,0.690153
53178,,,
53179,686,348,0.683974
53180,686,350,0.602304
53181,686,350,0.622689
53182,687,350,0.621748
53183,,,
53184,,,
53185,,,
53186,,,
53187,,,
53188,,,
53189,692,432,0.711710
53190,696,405,0.615542
53191,698,406,0.533688
53192,714,424,0.712994
53193,708,430,0.879725
53194,714,430,0.869104
53195,720,430,0.899280
53196,721,430,0.919607
53197,722,430,0.906338
53198,724,433,0.925596
53199,723,444,0.859639
53200,724,429,0.887876
53201,724,430,0.921789
53202,727,436,0.944788
53203,728,435,0.952674
53204,728,434,0.942315
53205,730,434,0.922032
53206,730,435,0.941659
53207,730,438,0.956053
53208,731,437,0.954570
53209,733,438,0.950069
53210,732,437,0.926890
53211,731,436,0.916578
53212,733,436,0.918105
53213,734,436,0.950452
53214,736,435,0.939123
53215,736,434,0.940426
53216,738,433,0.937753
53217,740,433,0.944653
53218,739,434,0.950938
53219,740,432,0.962704
53220,740,431,0.970422
53221,740,431,0.972879
53222,740,431,0.977084
53223,740,431,0.975338
53224,740,432,0.958871
53225,740,432,0.957774
53226,742,430,0.956784
53227,740,430,0.963436
53228,741,431,0.965633
53229,741,431,0.964775
53230,739,432,0.957143
53231,739,432,0.958774
53232,,,
53233,,,
53234,,,
53235,,,
53236,,,
53237,,,
53238,,,
53239,,,
53240,,,
53241,,,
53242,,,
53243,,,
53244,,,
53245,,,
53246,,,
53247,,,
53248,,,
53249,,,
53250,868,51,0.403405
53251,868,51,0.401187
53252,868,51,0.400260
53253,868,51,0.381480
53254,868,51,0.397628
53255,868,51,0.381750
53256,,,
53257,,,
53258,,,
53259,,,
53260,,,
53261,,,
53262,,,
53263,,,
53264,,,
53265,,,
53266,,,
53267,,,
53268,,,
53269,,,
53270,,,
